Index,C Log P,Mol Wt,ROTB,Molecular Volume,Decision
1,-5.39,415.5,6,340.57,1
2,-5.17,157.21,1,159.43,0
3,-3.8,125.15,2,96.98,1
4,-3.43,175.19,5,160.83,1
5,-3.22,300.3,3,229.94,1
6,-3.19,181.21,4,150.44,1
7,-3.04,473.45,9,398.54,1
8,-2.71,263.27,7,218.66,1
9,-2.7,279.19,6,224.14,1
10,-2.17,255.23,5,212.6,1
11,-2.15,289.19,5,224.12,1
12,-2.06,267.25,2,218.61,1
13,-1.98,188.29,3,137.84,1
14,-1.97,454.45,9,387.36,1
15,-1.94,261.17,2,206.25,1
16,-1.81,137.11,1,116.32,1
17,-1.76,206.18,4,149.83,1
18,-1.71,329.21,1,245.99,1
19,-1.68,339.33,6,272.1,1
20,-1.61,225.21,4,187.75,1
21,-1.55,454.52,7,343.52,1
22,-1.49,347.4,4,293.19,1
23,-1.46,194.19,3,170.52,1
24,-1.44,168.11,0,124.93,1
25,-1.35,365.41,4,306.89,1
26,-1.18,288.2,5,227.28,1
27,-1.09,229.26,2,187.07,1
28,-1.09,217.29,3,195.65,1
29,-1.06,211.22,2,185.75,1
30,-1,410.43,6,317.58,1
31,-0.99,296.2,3,221.93,1
32,-0.98,273.19,5,215.99,1
33,-0.95,236.23,2,199.28,1
34,-0.95,410.47,8,377.03,1
35,-0.88,383.41,5,295.17,1
36,-0.88,254.27,3,201.66,1
37,-0.86,238.24,6,214.46,1
38,-0.86,329.29,7,257.42,1
39,-0.8,213.21,2,161.46,1
40,-0.75,382.3,3,280.5,1
41,-0.7,331.35,3,285.46,1
42,-0.68,525.64,10,421.91,1
43,-0.62,287.22,5,232.58,1
44,-0.59,130.08,0,96.91,1
45,-0.57,395.42,5,305.37,1
46,-0.54,224.22,2,192.96,1
47,-0.54,179.18,3,159.23,1
48,-0.5,188.2,2,149.04,1
49,-0.49,478.36,4,374.39,0
50,-0.39,152.18,0,117.56,1
51,-0.33,301.24,7,250.32,1
52,-0.31,183.16,2,156.29,1
53,-0.29,198.17,3,169.45,1
54,-0.27,448.57,9,386.12,1
55,-0.26,361.37,2,311.15,1
56,-0.24,444.44,2,377.44,1
57,-0.18,293.26,2,237.35,0
58,-0.15,132.12,4,117.04,1
59,-0.14,350.3,3,264.46,1
60,-0.1,267.25,3,224.06,1
61,-0.06,297.75,1,202.5,1
62,0.14,252.35,7,231.45,1
63,0.24,460.39,5,375.88,0
64,0.28,515.71,7,483.12,1
65,0.33,314.41,10,288.97,1
66,0.36,446.36,4,358.35,0
67,0.62,407.57,4,402.94,0
68,0.65,430.37,4,350.33,0
69,0.68,189.17,1,159.01,1
70,0.7,182.18,3,161.41,1
71,0.84,350.44,2,303.29,1
72,0.85,312.41,8,309.6,0
73,0.94,379.48,6,338.32,1
74,0.94,302.19,0,221.78,1
75,1.47,482.44,4,400.86,1
76,1.51,175.19,2,156.82,1
77,1.69,352.35,5,304.04,1
78,1.74,403.82,5,336.34,1
79,1.77,330.75,5,249.48,1
80,1.78,174.2,1,161.59,1
81,1.82,334.4,4,287.55,0
82,1.83,256.34,13,262.77,1
83,1.84,312.35,3,253.84,1
84,1.88,302.24,1,240.08,1
85,2.06,240.25,6,219.94,1
86,2.14,213.19,0,176.44,1
87,2.15,424.53,11,409.92,1
88,2.15,424.53,11,409.92,0
89,2.17,359.4,3,318.61,1
90,2.36,476.47,12,420.65,0
91,2.42,270.24,1,223.43,0
92,2.67,501.48,15,439.84,1
93,2.84,284.4,15,296.38,1
94,2.87,352.47,12,353.74,1
95,3,284.22,1,225.61,0
96,3.01,270.24,0,223.19,0
97,3.05,354.49,12,359.6,1
98,3.36,354.49,13,359.92,1
99,3.45,364.42,8,313.53,1
100,3.46,206.28,4,211.19,1
101,3.54,254.24,0,215.17,0
102,3.54,284.27,1,240.72,0
103,3.58,376.32,1,301.67,1
104,3.58,376.32,1,301.67,1
105,3.59,254.28,4,234.83,1
106,3.69,332.31,0,274.67,1
107,3.72,318.46,1,316.03,1
108,3.99,357.79,4,303.24,1
109,4.12,446.51,8,403.61,1
110,4.33,414.06,7,229.13,1
