Index,C Log P,Mol Wt,nOHNH,ROTB,Molecular Volume
1,3.48,302.95,1,0,167.67
2,4.02,396.95,1,0,179.88
3,3.64,480.65,1,7,468.58
4,0.88,199.3,0,2,209.62
5,6.56,399.97,1,9,382.66
6,-0.96,86.14,2,0,93.81
7,2.35,201.25,1,1,166.83
8,-5.97,585.61,17,10,509.98
9,-1.35,365.41,5,4,306.89
10,-0.87,349.41,4,4,298.87
11,2.01,413.48,1,5,354.35
12,-0.52,516.56,2,6,435.88
13,-0.82,383.43,2,5,302.55
14,2.73,749,5,7,736.45
15,2.9,747.96,4,8,726.81
16,2.06,424.99,4,7,384.72
17,2.28,733.94,5,7,709.28
18,-4.54,1440.73,22,48,1329.99
19,0.56,333.39,1,4,284.81
20,-1.7,367.81,4,4,290.17
21,-1.97,363.39,5,4,301.21
22,-1.49,347.4,4,4,293.19
23,-4.24,453.51,1,7,340.77
24,2.79,620.74,3,12,509.03
25,-3.75,644.67,3,9,517.46
26,-4.57,573.62,3,9,419.58
27,-3.58,454.47,3,8,353.75
28,-4.33,553.58,4,8,419.49
29,-0.98,424.39,4,8,334.95
30,0.06,510.48,3,12,413.83
31,0.73,323.13,3,6,249.16
32,-0.7,331.35,2,3,285.46
33,1.63,392.41,4,3,334.85
34,-0.3,404.35,3,3,321.9
35,-0.2,464.86,7,2,374.74
36,-0.43,444.44,7,2,377.79
37,0.22,457.48,6,3,399.06
38,-1.16,460.44,8,2,385.48
39,-0.24,444.44,7,2,377.44
40,-0.04,375.4,2,4,327.59
41,-0.26,361.37,1,2,311.15
42,0.39,401.44,2,4,350.62
43,-0.69,319.34,2,3,279.23
44,-0.26,361.37,1,2,311.15
45,-6.04,615.63,18,9,530.7
46,-5.7,484.5,15,6,420.15
47,0.92,337.35,1,4,295.4
48,0.81,232.24,1,2,205.16
49,-6.11,614.65,19,9,533.97
50,-0.05,238.16,1,3,181.32
51,-5.62,1203.5,23,29,1145.11
52,-2.64,213.24,2,2,171.86
53,-0.04,250.28,3,3,202.26
54,0.99,267.31,3,3,221.11
55,0.99,290.32,4,5,263.15
56,0.21,270.34,3,3,209.53
57,-0.29,172.21,4,1,138.05
58,3.9,398.4,3,6,320.66
59,0.83,255.32,3,3,197.13
60,3.7,812.02,2,11,772.32
61,-5.7,467.52,15,6,415.38
62,0.99,290.32,4,5,263.15
63,-2.49,924.09,13,3,865.48
64,1.57,352.77,0,3,293.6
65,1.49,349.32,1,5,285.11
66,8.43,473.41,1,4,408.74
67,0.93,248.31,4,2,209.46
68,5,319.88,1,8,313.12
69,4,335.88,2,9,321.38
70,4.24,378.32,2,4,296.92
71,3.06,324.42,1,4,310.79
72,-0.47,171.16,1,3,146.77
73,-0.62,1291.25,6,16,951.76
74,-3.8,273.1,4,4,188.97
75,-1.9,102.09,3,0,87.08
76,0.35,204.31,4,9,221.06
77,1.46,166.25,2,2,152.4
78,-0.97,137.14,3,1,122.56
79,4.61,847.02,5,5,786.81
80,2.62,822.95,6,5,755.91
81,1.1,236.3,4,4,206.8
82,0.62,171.24,3,3,174.2
83,2.04,256.1,4,1,192.63
84,0.66,159.23,3,5,168.11
85,-0.39,129.16,3,4,129.09
86,1.32,135.21,2,2,145.52
87,2.97,305.46,2,7,322.67
88,2.1,191.27,0,1,195.35
89,2.63,240.35,0,5,247.63
90,3.88,239.36,0,5,251.79
91,2.29,308.77,0,1,263.23
92,2.77,315.72,1,2,252.93
93,3.73,299.76,1,1,258.83
94,-0.99,313.72,1,2,253.88
95,2.74,284.75,0,1,246.54
96,3.64,387.89,0,6,348.02
97,2.47,321.16,2,1,251.17
98,3.07,325.77,0,1,272.32
99,1.84,286.72,2,1,237.64
100,2.08,300.75,1,1,254.58
101,2.92,343.22,0,1,276.77
102,1.33,218.25,4,8,207.98
103,4.18,260.33,3,9,259.05
104,2.8,144.21,1,5,156.79
105,0.09,143.21,0,5,154.05
106,2.8,144.21,1,5,156.79
107,1.34,203.24,0,1,190.38
108,0.36,141.17,1,1,135.39
109,2.18,252.27,2,2,223.89
110,0.16,339.37,2,3,276.58
111,0.72,212.23,2,2,164.97
112,4.19,277.41,0,3,285.14
113,4.82,314.86,0,4,300.85
114,3.85,279.38,0,3,277.32
115,4.64,294.44,0,4,303.9
116,3.65,313.79,1,1,271.94
117,3.92,266.39,1,4,270.37
118,4.16,280.42,0,4,287.31
119,3.94,263.38,1,3,268.2
120,4.69,297.42,1,6,278.54
121,4.03,255.36,1,6,260.39
122,3.81,277.41,1,5,286.81
123,3.42,239.75,1,4,228.54
124,2.84,236.27,2,0,215.08
125,2.48,252.27,2,0,223.45
126,3.17,324.4,0,5,305
127,3.17,324.4,0,5,305
128,4.53,309.33,1,7,275.13
129,2.53,318.34,2,10,285.23
130,4.05,329.37,1,4,295.72
131,3.98,306.24,1,2,267.9
132,0.45,136.2,3,3,141.34
133,1.43,133.19,2,1,134.95
134,1.23,231.25,2,4,210.01
135,4.01,277.41,1,4,280.07
136,2.28,233.31,1,4,231
137,3.02,371.87,0,5,330.88
138,4.72,307.48,4,12,329.25
139,5.08,448.39,1,7,394.8
140,4.51,437.53,1,7,380.78
141,4.29,403.98,1,6,363.02
142,4.92,373.95,0,4,337.96
143,4.44,284.43,0,3,271.62
144,5.06,399.63,0,6,375.91
145,5.03,318.87,0,4,285.37
146,5.68,370.59,1,4,346.35
147,4.14,326.83,1,1,292.3
148,4.25,327.81,0,1,288.88
149,3.47,312.44,1,1,286.04
150,3.4,379.44,1,6,342.87
151,4.3,375.87,1,6,336.98
152,5.62,461.56,1,7,423.26
153,3.49,383.52,1,6,352.14
154,2.96,410.49,0,4,374.49
155,3.96,443.64,0,5,399.59
156,4.88,411.59,1,11,421.3
157,4.01,362.47,0,3,344.56
158,4.86,357.49,1,8,361.79
159,6.69,314.47,1,4,323.99
160,0.55,211.26,2,5,205.57
161,8.41,500.8,0,10,485.91
162,2.66,323.44,1,3,313.85
163,4.82,243.39,0,2,259.67
164,1.78,226.28,2,4,216.97
165,-1.93,211.24,1,3,197.32
166,1.55,224.26,2,4,211.34
167,-1.38,261.3,0,3,247.57
168,1.59,246.27,1,2,221.77
169,-1.37,225.27,1,4,214.12
170,0.8,232.24,2,2,204.82
171,0.92,218.26,2,2,202.64
172,-0.67,237.28,1,5,225.29
173,0.87,165.4,0,1,102.61
174,1.09,162.24,0,1,165.62
175,-3.13,135.11,1,0,105.83
176,1.1,399.44,1,5,364.15
177,-2.25,363.36,0,9,303.99
178,3.61,381.38,2,4,298.65
179,3.64,287.36,2,4,271.8
180,1.18,241.27,0,4,222.08
181,4.05,244.26,1,3,220.77
182,3.46,206.28,1,4,211.19
183,3.99,357.79,1,4,303.24
184,3.59,254.28,1,4,234.83
185,0.66,229.25,0,3,211.23
186,2.06,331.35,2,2,268.05
187,0.68,151.16,2,1,140.01
188,1.43,180.16,1,3,155.57
189,1.41,299.37,1,1,274.21
190,4.98,339.48,0,9,346.19
191,1.35,341.41,2,2,304.53
192,1.61,369.42,0,4,329.7
193,3.79,336.48,0,6,340.16
194,1.42,285.34,1,0,257
195,0.48,301.34,2,0,264.7
196,2.65,247.34,0,4,247.59
197,4.25,309.45,0,7,320.4
198,1.1,285.34,2,0,256.68
199,4.59,285.43,1,2,294.19
200,4.55,273.38,1,6,274.35
201,-1.49,360.47,1,8,347.61
202,1.05,303.36,1,5,277.2
203,-2.93,318.39,1,5,297.2
204,-5.6,290.4,0,11,301.19
205,2.96,237.73,1,2,218.4
206,3.7,178.28,1,2,191.96
207,3.34,288.44,1,5,301.5
208,2.23,270.76,2,7,249.95
209,2.13,234.34,1,5,244.86
210,1.91,246.35,1,2,251.09
211,2.51,220.32,2,5,227.95
212,1.97,236.31,2,7,236.41
213,0.14,252.35,3,7,231.45
214,0.33,314.41,2,10,288.97
215,1.15,345.09,0,0,143.71
216,2.54,299.8,3,7,278.91
217,2.37,293.37,0,2,274.52
218,2.63,557.64,3,12,511.06
219,1.42,410.46,2,8,374.66
220,4.34,404.55,1,7,400.57
221,3.91,421.47,3,8,377.52
222,-0.56,423.53,3,11,407.18
223,-0.6,480.54,2,10,414.33
224,4.76,418.57,1,7,416.81
225,1.77,289.38,1,5,279.01
226,1.78,275.35,1,4,262.21
227,2.1,255.37,1,1,255.32
228,0.79,368.5,0,7,364.67
229,0.91,238.33,2,9,203.71
230,-4.01,161.22,2,4,167.98
231,-4.14,147.2,2,4,151.4
232,1.36,325.41,3,3,304.95
233,2.08,581.67,3,4,516.6
234,1.9,339.44,3,4,321.75
235,3.34,414.53,0,7,377.75
236,3.07,346.34,1,6,302.78
237,2.58,408.88,3,10,363.9
238,4.55,454.61,0,13,454.3
239,4.25,414.35,2,9,332
240,0.99,235.33,3,6,239.83
241,2.19,227.09,1,8,160.02
242,8.31,645.32,0,11,437.04
243,1.12,780.95,6,7,720.14
244,2.78,339.48,2,8,344.36
245,-3.2,160.24,0,4,173.26
246,2.97,259.35,2,6,257.82
247,2.07,265.35,2,9,267.35
248,0.72,266.34,4,8,260.9
249,3.56,406.48,3,10,376.39
250,2.85,328.41,5,8,314.78
251,1.97,267.37,2,9,272.98
252,1.15,309.41,4,6,302.52
253,1.98,248.33,3,6,242.81
254,2.25,336.43,3,10,330.92
255,2.08,451.48,2,4,395.19
256,2.91,495.54,4,14,441.96
257,2.58,408.52,3,11,371.25
258,1.31,387.44,2,4,348.39
259,1.48,389.46,3,8,358.62
260,-1.09,217.29,1,3,195.65
261,0.51,376.45,2,10,356.76
262,2.61,230.1,2,2,181.94
263,1.84,230.68,1,0,170.39
264,0.99,198.31,4,3,211.63
265,0.69,160.18,3,1,143.41
266,1.91,383.41,2,4,336
267,5.01,608.69,1,10,549.89
268,1.35,239.31,4,5,237.12
269,-1.47,332.46,1,6,332.39
270,0.02,295.73,3,1,196.55
271,-0.06,297.75,4,1,202.5
272,2.46,365.84,3,3,295.23
273,0.78,360.24,3,2,249.8
274,2.77,365.84,3,2,294.99
275,1.77,330.75,4,5,249.48
276,4.36,303.83,0,8,291.35
277,1.24,165.24,2,3,171.24
278,-0.06,183.21,4,3,170.69
279,-1.04,169.18,5,2,153.01
280,0.41,167.21,3,3,162.67
281,4.49,521.05,1,8,473.3
282,4.18,504.6,1,8,464.7
283,3.19,430.54,2,4,403
284,2.14,402.49,1,4,373.71
285,2.06,392.47,3,2,358.07
286,2.31,422.49,2,4,384.18
287,2.38,376.47,2,1,349.81
288,4.61,500.58,1,6,431.38
289,1.62,362.47,3,2,343.06
290,2.07,374.48,3,2,353.46
